sheet,cell,text,url,subaddress
Sheet1,A41,12-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/19?data-title=12-B+transcription&data-verticalTitle=12-B+transcription&data-type=book&data-id=book_transcription_19&data-boxTitle=12-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F19&data-maxWidth=300,
Sheet1,A43,12-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/20?data-title=12-C+transcription&data-verticalTitle=12-C+transcription&data-type=book&data-id=book_transcription_20&data-boxTitle=12-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F20&data-maxWidth=300,
Sheet1,A45,13-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/21?data-title=13-A+transcription&data-verticalTitle=13-A+transcription&data-type=book&data-id=book_transcription_21&data-boxTitle=13-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F21&data-maxWidth=300,
Sheet1,A47,14-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/137?data-title=14-A+transcription&data-verticalTitle=14-A+transcription&data-type=book&data-id=book_transcription_137&data-boxTitle=14-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F137&data-maxWidth=300,
Sheet1,A49,13-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/22?data-title=13-B+transcription&data-verticalTitle=13-B+transcription&data-type=book&data-id=book_transcription_22&data-boxTitle=13-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F22&data-maxWidth=300,
Sheet1,A51,15-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/129?data-title=15-A+transcription&data-verticalTitle=15-A+transcription&data-type=book&data-id=book_transcription_129&data-boxTitle=15-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F129&data-maxWidth=300,
Sheet1,A53,16-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/133?data-title=16-A+transcription&data-verticalTitle=16-A+transcription&data-type=book&data-id=book_transcription_133&data-boxTitle=16-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F133&data-maxWidth=300,
Sheet1,A55,17-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/142?data-title=17-A+transcription&data-verticalTitle=17-A+transcription&data-type=book&data-id=book_transcription_142&data-boxTitle=17-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F142&data-maxWidth=300,
Sheet1,A57,18-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/77?data-title=18-A+transcription&data-verticalTitle=18-A+transcription&data-type=book&data-id=book_transcription_77&data-boxTitle=18-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F77&data-maxWidth=300,
Sheet1,A59,19-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/32?data-title=19-A+transcription&data-verticalTitle=19-A+transcription&data-type=book&data-id=book_transcription_32&data-boxTitle=19-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F32&data-maxWidth=300,
Sheet1,A61,20-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/138?data-title=20-A+transcription&data-verticalTitle=20-A+transcription&data-type=book&data-id=book_transcription_138&data-boxTitle=20-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F138&data-maxWidth=300,
Sheet1,A63,21-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/112?data-title=21-A+transcription&data-verticalTitle=21-A+transcription&data-type=book&data-id=book_transcription_112&data-boxTitle=21-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F112&data-maxWidth=300,
Sheet1,A65,21-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/113?data-title=21-B+transcription&data-verticalTitle=21-B+transcription&data-type=book&data-id=book_transcription_113&data-boxTitle=21-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F113&data-maxWidth=300,
Sheet1,A67,21-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/114?data-title=21-C+transcription&data-verticalTitle=21-C+transcription&data-type=book&data-id=book_transcription_114&data-boxTitle=21-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F114&data-maxWidth=300,
Sheet1,A69,22-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/59?data-title=22-B+transcription&data-verticalTitle=22-B+transcription&data-type=book&data-id=book_transcription_59&data-boxTitle=22-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F59&data-maxWidth=300,
