sheet,cell,text,url,subaddress
Sheet1,A42,II-O transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/184?data-title=II-O+transcription&data-verticalTitle=II-O+transcription&data-type=book&data-id=book_transcription_184&data-boxTitle=II-O+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F184&data-maxWidth=300,
Sheet1,A44,II-P transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/166?data-title=II-P+transcription&data-verticalTitle=II-P+transcription&data-type=book&data-id=book_transcription_166&data-boxTitle=II-P+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F166&data-maxWidth=300,
Sheet1,A46,II-Q transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/167?data-title=II-Q+transcription&data-verticalTitle=II-Q+transcription&data-type=book&data-id=book_transcription_167&data-boxTitle=II-Q+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F167&data-maxWidth=300,
Sheet1,A48,II-S transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/185?data-title=II-S+transcription&data-verticalTitle=II-S+transcription&data-type=book&data-id=book_transcription_185&data-boxTitle=II-S+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F185&data-maxWidth=300,
Sheet1,A50,II-R transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/168?data-title=II-R+transcription&data-verticalTitle=II-R+transcription&data-type=book&data-id=book_transcription_168&data-boxTitle=II-R+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F168&data-maxWidth=300,
Sheet1,A52,III-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/186?data-title=III-A+transcription&data-verticalTitle=III-A+transcription&data-type=book&data-id=book_transcription_186&data-boxTitle=III-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F186&data-maxWidth=300,
Sheet1,A54,III-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/169?data-title=III-B+transcription&data-verticalTitle=III-B+transcription&data-type=book&data-id=book_transcription_169&data-boxTitle=III-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F169&data-maxWidth=300,
Sheet1,A56,III-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/170?data-title=III-C+transcription&data-verticalTitle=III-C+transcription&data-type=book&data-id=book_transcription_170&data-boxTitle=III-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F170&data-maxWidth=300,
Sheet1,A58,III-D transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/171?data-title=III-D+transcription&data-verticalTitle=III-D+transcription&data-type=book&data-id=book_transcription_171&data-boxTitle=III-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F171&data-maxWidth=300,
Sheet1,A60,III-F transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/187?data-title=III-F+transcription&data-verticalTitle=III-F+transcription&data-type=book&data-id=book_transcription_187&data-boxTitle=III-F+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F187&data-maxWidth=300,
